,study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
14,1,Jackson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Atlanta, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID50,109.2,59.6,199.9,38,250,2.5,18-55,adult,36,prime,14,GMT/CI,373.5,308.6,452.2,Table 2,2.572290606,2.038222638,0.158385346,0.826482067,0.042330264,0.134073096,0.534067968,3.42032967,0.156592273,0.030603348,0.450671078,0.619510078
15,1,Jackson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Atlanta, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID50,109.2,59.6,199.9,38,25,0.25,18-55,adult,42,prime,13,GMT/CI,112.3,71.2,177.1,Table 2,2.050379756,2.038222638,0.3639938,0.826482067,0.100953716,0.134073096,0.012157118,1.028388278,0.35529582,0.073173567,-0.197251052,0.209289629
16,1,Jackson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Atlanta, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID50,109.2,59.6,199.9,38,100,1,18-55,adult,42,prime,14,GMT/CI,343.8,261.2,452.7,Table 2,2.536305872,2.038222638,0.227971283,0.826482067,0.060927888,0.134073096,0.498083234,3.148351648,0.225809897,0.043336503,0.377201744,0.619569222
18,1,Jackson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Atlanta, US",Day 0/28,wild-type SARS-CoV-2,Live virus PRNT80,158.3,15.1,1663,3,25,0.25,18-55,adult,42,prime,13,GMT/CI,339.7,184,627.1,Table 2,2.531095547,2.199480915,0.489802163,0.902219655,0.135846678,0.520896761,0.331614632,2.145925458,0.480313341,0.099170916,0.068692036,0.593147773
19,1,Jackson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Atlanta, US",Day 0/28,wild-type SARS-CoV-2,Live virus PRNT80,158.3,15.1,1663,3,100,1,18-55,adult,42,prime,14,GMT/CI,654.3,460.1,930.5,Table 2,2.81577692,2.199480915,0.291948682,0.902219655,0.078026567,0.520896761,0.616296005,4.133291219,0.28883123,0.057293745,0.459004663,0.769952672
54,2,Anderson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Bethesda, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID50,106,60,189,41,25,0.4,>=71,elderly,35,prime,10,GMT/CI,121,69,211,"Table S4, Table S5",2.08278537,2.025305865,0.391600787,0.813965404,0.123835042,0.127120039,0.057479505,1.141509434,0.377601528,0.090385299,-0.180172256,0.295180583
63,2,Anderson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Bethesda, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID50,106,60,189,41,25,0.4,56-70,elderly,42,prime,10,GMT/CI,116,66,205,"Table S4, Table S5",2.064457989,2.025305865,0.397067462,0.813965404,0.125563757,0.127120039,0.039152124,1.094339623,0.387346859,0.090674796,-0.203917097,0.280009158
65,2,Anderson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Bethesda, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID50,106,60,189,41,100,1,56-70,elderly,42,prime,9,GMT/CI,402,289,560,"Table S4, Table S5",2.604226053,2.025305865,0.219864937,0.813965404,0.073288312,0.127120039,0.578920188,3.79245283,0.212314372,0.053649479,0.434240021,0.720734703
66,2,Anderson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Bethesda, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID50,106,60,189,41,100,1,>=71,elderly,42,prime,10,GMT/CI,317,198,508,"Table S4, Table S5",2.501059262,2.025305865,0.330101874,0.813965404,0.104387378,0.127120039,0.475753397,2.990566038,0.320812222,0.07720164,0.264275682,0.679693216
67,2,Anderson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Bethesda, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID50,106,60,189,41,100,1,18-55,adult,42,prime,14,GMT/CI,360,237,476,"Table S4, Table S5",2.556302501,2.025305865,0.289079883,0.813965404,0.077259849,0.127120039,0.530996636,3.396226415,0.284084888,0.055349125,0.378127327,0.683470931
68,2,Anderson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Bethesda, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID80,41,26,66,41,25,0.4,56-70,elderly,42,prime,10,GMT/CI,54,29,100,"Table S4, Table S5",1.73239376,1.612783857,0.433685408,0.660845851,0.137143368,0.103206783,0.119609903,1.317073171,0.427137708,0.100186423,-0.145146391,0.382724192
69,2,Anderson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Bethesda, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID80,41,26,66,41,25,0.4,>=71,elderly,42,prime,10,GMT/CI,61,34,110,"Table S4, Table S5",1.785329835,1.612783857,0.411349214,0.660845851,0.130080043,0.103206783,0.172545978,1.487804878,0.400194638,0.094745937,-0.091931711,0.426077416
70,2,Anderson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Bethesda, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID80,41,26,66,41,100,1,56-70,elderly,42,prime,9,GMT/CI,203,145,283,"Table S4, Table S5",2.307496038,1.612783857,0.222259005,0.660845851,0.074086335,0.103206783,0.694712181,4.951219512,0.217227905,0.053003216,0.547029027,0.845231302
71,2,Anderson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Bethesda, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID80,41,26,66,41,100,1,>=71,elderly,42,prime,10,GMT/CI,194,121,311,"Table S4, Table S5",2.28780173,1.612783857,0.330728276,0.660845851,0.104585464,0.103206783,0.675017873,4.731707317,0.323581515,0.077341547,0.472032237,0.879574028
72,2,Anderson et al. 2020,NCT04283461,mRNA-1273,mRNA,ug,100,"Seattle & Bethesda, US",Day 0/28,wild-type SARS-CoV-2,PsVNA ID80,41,26,66,41,100,1,18-55,adult,42,prime,14,GMT/CI,164,122,219,"Table S4, Table S5",2.214843848,1.612783857,0.242524576,0.660845851,0.064817419,0.103206783,0.602059991,4,0.238458076,0.047942389,0.474181892,0.728845652
110,10,Walsh et al. 2020,NCT04368728,BNT162b1,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,20,0.67,65-85,elderly,28,prime,12,GMT/CI,179,95,328,Figure 4B,2.252853031,1.973127854,0.475563038,0.589591045,0.137283224,0.095644297,0.279725177,1.904255319,0.465093961,0.099039249,0.016894624,0.544065721
113,10,Walsh et al. 2020,NCT04368728,BNT162b2,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,10,0.33,18-55,adult,28,prime,12,GMT/CI,157,97,252,Figure 4B,2.195899652,1.973127854,0.366407224,0.589591045,0.105772655,0.095644297,0.222771799,1.670212766,0.355581148,0.077168615,0.01774644,0.430122184
115,10,Walsh et al. 2020,NCT04368728,BNT162b2,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,20,0.67,18-55,adult,28,prime,12,GMT/CI,363,257,513,Figure 4B,2.559906625,1.973127854,0.265272632,0.589591045,0.076577613,0.095644297,0.586778771,3.861702128,0.257432856,0.055374138,0.433110222,0.732829002
116,10,Walsh et al. 2020,NCT04368728,BNT162b2,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,20,0.67,65-85,elderly,28,prime,12,GMT/CI,84,46,159,Figure 4B,1.924279286,1.973127854,0.475995215,0.589591045,0.137407983,0.095644297,-0.048848568,0.893617021,0.462615015,0.099210246,-0.314895628,0.216577997
